,best,r_loss,epoch,historical
level: measure / type: <function pearson_similarity at 0x7f0189b758c0> best,<function pearson_similarity at 0x7f0189b758c0>,0.4092415817859609,2.0,"[(0.6112906964207898, 0.41804978028709244, 0.5936472642522159, 0.4369771954843418), (0.6117915011231502, 0.4174731730868977, 0.6034464067294868, 0.42643929008776515), (0.6194414019063391, 0.4092415817859609, 0.6078505381420745, 0.42171387115635234), (0.6083746379396106, 0.4211308593649949, 0.6054823906485584, 0.42424670378434354), (0.6038513196768787, 0.42598719875056457, 0.6020438388237953, 0.42795162670677295)]"
level: measure / type: <function euclidan_similarity at 0x7f0189b75b90> best,<function euclidan_similarity at 0x7f0189b75b90>,0.36995809247857087,0.0,"[(0.6559794551880437, 0.36995809247857087, 0.6359763513242997, 0.39140414954255603), (0.6275018602340507, 0.4005590966742952, 0.6225124874716371, 0.40590446551658155), (0.6317661723795068, 0.3959800861649207, 0.6257195832892665, 0.4024480147722829), (0.6269473155131188, 0.40114850865389334, 0.6270126450474737, 0.40106074793971525), (0.616256756275727, 0.41263603719306713, 0.621057915540725, 0.40746723532778995)]"
level: measure / type: <function exponent_neg_manhattan_distance at 0x7f0189b75758> best,<function exponent_neg_manhattan_distance at 0x7f0189b75758>,1.0,0.0,"[(1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0), (1.0, 1.0, 1.0, 1.0)]"
level: measure / type: <function cosine_similarity at 0x7f0189b75938> best,<function cosine_similarity at 0x7f0189b75938>,0.5065241530245798,4.0,"[(0.44900142247297475, 0.5925416012606791, 0.47789053305574924, 0.5616223639594885), (0.48968525438575794, 0.5487574323927221, 0.5018519368741261, 0.5358529639239676), (0.5070668869223166, 0.5300584890822013, 0.512692261568415, 0.5242082564356071), (0.5195167733850019, 0.5167247467270001, 0.5219923121436063, 0.5141967562195674), (0.5289759320722545, 0.5065241530245798, 0.5290642116391092, 0.5066019950700413)]"
level: loss / type: binary_crossentropy best,binary_crossentropy,0.36995809247857087,0.0,"[(0.6559794551880437, 0.36995809247857087, 0.6359763513242997, 0.39140414954255603), (0.6275018602340507, 0.4005590966742952, 0.6225124874716371, 0.40590446551658155), (0.6317661723795068, 0.3959800861649207, 0.6257195832892665, 0.4024480147722829), (0.6269473155131188, 0.40114850865389334, 0.6270126450474737, 0.40106074793971525), (0.616256756275727, 0.41263603719306713, 0.621057915540725, 0.40746723532778995)]"
level: loss / type: mean_squared_error best,mean_squared_error,0.3610725270772687,0.0,"[(0.6642420121256508, 0.3610725270772687, 0.628754514150169, 0.3991594639559799), (0.6572681077983009, 0.36857756403768077, 0.6234817143759755, 0.404855030928356), (0.6509648833351808, 0.3753438814418695, 0.6192143892079146, 0.4094554032792246), (0.6417207240731696, 0.38528165917810536, 0.6122990118272811, 0.41690224930814984), (0.640299590821701, 0.3868080582728175, 0.6125729811313995, 0.416611006591784)]"
