,best,r_loss,epoch,historical
level: measure / type: <function pearson_sim at 0x7fc6090ca5f0> best,<function pearson_sim at 0x7fc6090ca5f0>,0.482398046864633,9.0,"[(8.357723577235772, 15.642276422764228, 36.84552845528455, 51.447154471544714, 70.60162601626017, 0.5443218678941328, 0.48994934785597777), (9.203252032520325, 16.32520325203252, 36.8130081300813, 50.73170731707317, 71.15447154471545, 0.5489331370677366, 0.4849680908780811), (6.2439024390243905, 13.59349593495935, 34.40650406504065, 47.9349593495935, 67.1869918699187, 0.5208773986619267, 0.5152705920705241), (7.902439024390244, 15.544715447154472, 36.8130081300813, 51.05691056910569, 71.44715447154472, 0.5490917174451869, 0.4848763650510989), (8.487804878048781, 15.642276422764228, 35.642276422764226, 49.46341463414634, 72.03252032520325, 0.5450298354211366, 0.4891887937448988), (6.08130081300813, 13.235772357723578, 34.048780487804876, 48.260162601626014, 69.00813008130082, 0.5280986955437603, 0.5074569830313997), (7.5772357723577235, 15.05691056910569, 35.642276422764226, 49.39837398373984, 70.69918699186992, 0.5416212903093911, 0.49283794390590435), (8.325203252032521, 15.804878048780488, 35.739837398373986, 48.97560975609756, 70.5691056910569, 0.544739263813983, 0.4894211843235478), (7.7073170731707314, 15.121951219512194, 36.8780487804878, 51.2520325203252, 72.32520325203252, 0.5512914325208741, 0.482398046864633), (8.097560975609756, 15.21951219512195, 35.1219512195122, 49.951219512195124, 70.82926829268293, 0.5417947533154065, 0.4926703686400885), (8.325203252032521, 15.512195121951219, 36.84552845528455, 50.27642276422764, 71.51219512195122, 0.5453125664960984, 0.48883442771077745), (7.609756097560975, 14.308943089430894, 35.86991869918699, 49.36585365853659, 71.28455284552845, 0.5412909687282195, 0.49323401998702154), (8.357723577235772, 15.382113821138212, 36.0650406504065, 50.27642276422764, 70.47154471544715, 0.5413085727062926, 0.4931826386924929), (8.292682926829269, 15.707317073170731, 36.357723577235774, 50.34146341463415, 71.15447154471545, 0.5465568193262819, 0.48752220048599265), (8.78048780487805, 16.32520325203252, 36.422764227642276, 51.05691056910569, 71.08943089430895, 0.5478216212067307, 0.48617952187453056)]"
level: measure / type: <function eu_distance at 0x7fc6090ca6e0> best,<function eu_distance at 0x7fc6090ca6e0>,0.47752393743000104,13.0,"[(8.097560975609756, 15.447154471544716, 36.0650406504065, 50.73170731707317, 71.96747967479675, 0.5477553032713507, 0.4862041269759687), (7.512195121951219, 15.772357723577235, 36.68292682926829, 50.17886178861789, 71.44715447154472, 0.5474497578696397, 0.4866470443146423), (8.097560975609756, 16.16260162601626, 36.09756097560975, 50.016260162601625, 72.03252032520325, 0.5480864403452935, 0.48590540233257146), (7.7073170731707314, 15.382113821138212, 36.94308943089431, 50.60162601626016, 71.2520325203252, 0.5474065342422965, 0.48665578964484046), (9.040650406504065, 16.195121951219512, 37.6910569105691, 50.829268292682926, 71.1219512195122, 0.549597573301039, 0.48428330692802485), (9.138211382113822, 15.544715447154472, 37.49593495934959, 51.21951219512195, 70.5040650406504, 0.5505459661408846, 0.4832365513799102), (8.357723577235772, 15.739837398373984, 37.65853658536585, 50.56910569105691, 70.76422764227642, 0.5482648224605496, 0.48572628746962354), (7.056910569105691, 14.731707317073171, 37.43089430894309, 51.9349593495935, 71.60975609756098, 0.550970987911409, 0.4828162479243428), (8.195121951219512, 15.447154471544716, 38.016260162601625, 51.38211382113821, 70.63414634146342, 0.551290768956518, 0.48244616483720165), (9.333333333333334, 16.552845528455286, 37.72357723577236, 51.2520325203252, 70.40650406504065, 0.5528718248925911, 0.4807433335819653), (8.715447154471544, 15.804878048780488, 38.24390243902439, 50.89430894308943, 70.3739837398374, 0.5505976480652547, 0.48319046126529325), (8.422764227642276, 15.05691056910569, 37.300813008130085, 50.89430894308943, 70.60162601626017, 0.5477433042470808, 0.48625851118685065), (9.040650406504065, 16.0, 38.60162601626016, 52.45528455284553, 71.21951219512195, 0.5558574122508285, 0.47752393743000104), (8.715447154471544, 17.333333333333332, 38.4390243902439, 50.666666666666664, 70.21138211382114, 0.5541936652441452, 0.47928013134948877), (9.203252032520325, 17.398373983739837, 38.113821138211385, 50.53658536585366, 70.5691056910569, 0.5532350499908845, 0.480365790353633)]"
level: measure / type: <function exponent_neg_manhattan_distance at 0x7fc6090ca578> best,<function exponent_neg_manhattan_distance at 0x7fc6090ca578>,0.505504016852314,1.0,"[(7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314), (7.0894308943089435, 13.560975609756097, 34.24390243902439, 47.9349593495935, 70.01626016260163, 0.5299799079657121, 0.505504016852314)]"
level: measure / type: <function cosine_distance at 0x7fc6090ca848> best,<function cosine_distance at 0x7fc6090ca848>,0.4794406174034657,10.0,"[(6.6016260162601625, 14.536585365853659, 36.8130081300813, 50.34146341463415, 70.79674796747967, 0.5453979488968167, 0.48899028515176673), (7.284552845528455, 13.75609756097561, 35.447154471544714, 48.71544715447155, 70.3089430894309, 0.5389297069759947, 0.4959260475681226), (6.991869918699187, 13.43089430894309, 35.577235772357724, 50.3739837398374, 70.95934959349593, 0.5431799728919341, 0.49130275299972503), (7.186991869918699, 13.983739837398375, 36.71544715447155, 50.829268292682926, 70.5040650406504, 0.5449938199335245, 0.48936200166635113), (7.609756097560975, 15.121951219512194, 35.51219512195122, 50.17886178861789, 71.15447154471545, 0.5448596337883131, 0.48942475907389443), (6.959349593495935, 14.24390243902439, 36.61788617886179, 50.73170731707317, 71.54471544715447, 0.549435069352271, 0.48453696713286687), (6.796747967479675, 14.439024390243903, 36.552845528455286, 51.15447154471545, 71.21951219512195, 0.547750505867171, 0.4863617565114205), (7.317073170731708, 14.308943089430894, 37.073170731707314, 51.447154471544714, 71.90243902439025, 0.5511302752499613, 0.4827466531457696), (7.252032520325203, 14.699186991869919, 36.7479674796748, 51.90243902439025, 71.77235772357723, 0.5523594475043153, 0.48146978508611066), (6.829268292682927, 14.211382113821138, 36.65040650406504, 52.260162601626014, 72.58536585365853, 0.5543350865198629, 0.4794406174034657), (7.772357723577236, 14.991869918699187, 37.72357723577236, 51.1219512195122, 70.60162601626017, 0.5507073720898764, 0.4833013599901012), (6.861788617886178, 14.471544715447154, 35.642276422764226, 50.146341463414636, 70.53658536585365, 0.541465712721167, 0.49326979426752887), (6.991869918699187, 13.43089430894309, 36.0, 49.951219512195124, 71.08943089430895, 0.5421041756842548, 0.492589706655364), (6.861788617886178, 14.699186991869919, 36.357723577235774, 50.63414634146341, 71.54471544715447, 0.5484327618804322, 0.4858340915127897), (6.959349593495935, 14.504065040650406, 35.9349593495935, 49.72357723577236, 70.3739837398374, 0.5422791684754235, 0.4924645379441498)]"
level: loss / type: binary_crossentropy best,binary_crossentropy,0.48679912361683864,1.0,"[(7.5772357723577235, 14.926829268292684, 35.96747967479675, 50.016260162601625, 71.08943089430895, 0.5472014066979338, 0.48679912361683864), (7.317073170731708, 14.439024390243903, 36.32520325203252, 50.113821138211385, 71.02439024390245, 0.5447747312788841, 0.4894436156232199), (7.121951219512195, 13.91869918699187, 35.31707317073171, 49.75609756097561, 71.73983739837398, 0.5433793390139395, 0.49104863623851014), (7.544715447154472, 15.739837398373984, 34.829268292682926, 49.853658536585364, 71.3170731707317, 0.5444411357043323, 0.48987943731004213), (8.585365853658537, 15.089430894308943, 34.666666666666664, 48.48780487804878, 70.3089430894309, 0.5390485632163123, 0.49568040838206207), (8.520325203252032, 14.731707317073171, 35.67479674796748, 49.10569105691057, 69.59349593495935, 0.5378058683299196, 0.4970569362439407), (8.78048780487805, 15.024390243902438, 35.77235772357724, 49.13821138211382, 69.95121951219512, 0.5412419447353, 0.49335495026059856), (8.357723577235772, 15.772357723577235, 36.7479674796748, 49.5609756097561, 71.1869918699187, 0.5447486947317046, 0.4896472573281831), (8.292682926829269, 15.34959349593496, 36.45528455284553, 48.8130081300813, 70.3089430894309, 0.542937069407809, 0.49159113776303986), (8.878048780487806, 15.317073170731707, 35.707317073170735, 48.71544715447155, 69.59349593495935, 0.5389876271364976, 0.49583557511704457), (8.747967479674797, 16.03252032520325, 36.16260162601626, 49.10569105691057, 70.34146341463415, 0.5417783293278272, 0.492874213035015), (7.837398373983739, 15.121951219512194, 37.39837398373984, 50.73170731707317, 70.40650406504065, 0.5466095767774396, 0.4876474404759914), (8.130081300813009, 14.666666666666666, 36.32520325203252, 50.048780487804876, 70.4390243902439, 0.5424421198835226, 0.4921340644527233), (9.105691056910569, 15.284552845528456, 37.36585365853659, 50.34146341463415, 70.69918699186992, 0.5450078578461867, 0.4893666398904638), (8.585365853658537, 15.024390243902438, 36.48780487804878, 49.13821138211382, 70.53658536585365, 0.5418475157076302, 0.49274777625041916)]"
level: loss / type: mean_squared_error best,mean_squared_error,0.48480577385311957,7.0,"[(7.609756097560975, 14.699186991869919, 36.45528455284553, 50.4390243902439, 71.34959349593495, 0.5452664249773278, 0.4888933899491175), (8.227642276422765, 15.317073170731707, 35.83739837398374, 50.4390243902439, 71.54471544715447, 0.5440118689052836, 0.4902464634266341), (6.926829268292683, 13.886178861788618, 36.260162601626014, 50.73170731707317, 70.76422764227642, 0.5432678692178794, 0.49111810523288285), (8.357723577235772, 15.05691056910569, 34.99186991869919, 49.26829268292683, 71.41463414634147, 0.5427342967427145, 0.49166322090935094), (8.130081300813009, 15.902439024390244, 36.16260162601626, 50.86178861788618, 71.28455284552845, 0.547232173167459, 0.48682869623936603), (8.455284552845528, 15.83739837398374, 36.13008130081301, 50.21138211382114, 70.99186991869918, 0.5449855498077948, 0.4892130451946581), (7.967479674796748, 16.975609756097562, 37.82113821138211, 51.34959349593496, 70.47154471544715, 0.5490733476909568, 0.48480577385311957), (8.097560975609756, 14.861788617886178, 36.19512195121951, 50.89430894308943, 70.63414634146342, 0.5451493644471814, 0.4890444994385189), (8.260162601626016, 15.707317073170731, 36.78048780487805, 51.15447154471545, 70.86178861788618, 0.5462717316956912, 0.4878389457762711), (8.0, 14.796747967479675, 36.84552845528455, 50.47154471544715, 70.40650406504065, 0.5432817034431469, 0.49106274623880153), (8.455284552845528, 16.16260162601626, 37.75609756097561, 50.86178861788618, 70.53658536585365, 0.5478876236024535, 0.48612317269570154), (8.520325203252032, 16.617886178861788, 38.146341463414636, 51.02439024390244, 69.72357723577235, 0.548768847441808, 0.4851003834361079), (8.455284552845528, 15.447154471544716, 36.78048780487805, 51.02439024390244, 69.91869918699187, 0.5441210265440801, 0.49013798075004), (8.390243902439025, 15.707317073170731, 37.073170731707314, 50.796747967479675, 69.52845528455285, 0.5428926292174048, 0.49146696097579584), (7.772357723577236, 15.512195121951219, 38.146341463414636, 50.89430894308943, 70.34146341463415, 0.5482522325867868, 0.48574360008113693)]"
level: loss / type: <function contrastive_loss at 0x7fc6090ca410> best,<function contrastive_loss at 0x7fc6090ca410>,0.5014494130076702,1.0,"[(6.471544715447155, 14.016260162601625, 35.08943089430894, 49.52845528455285, 70.3089430894309, 0.5338139031465318, 0.5014494130076702), (7.154471544715447, 13.91869918699187, 33.72357723577236, 48.84552845528455, 70.63414634146342, 0.5302125334553396, 0.5053632123202462), (7.934959349593496, 15.34959349593496, 33.983739837398375, 47.34959349593496, 69.4308943089431, 0.5292265564037058, 0.5064314757359007), (6.341463414634147, 13.365853658536585, 33.59349593495935, 48.22764227642276, 70.3089430894309, 0.5279855692102544, 0.507668803950349), (7.186991869918699, 14.666666666666666, 33.75609756097561, 47.642276422764226, 69.91869918699187, 0.5293301853867806, 0.5062585893317222), (7.739837398373984, 14.56910569105691, 34.60162601626016, 48.19512195121951, 70.21138211382114, 0.5298599142487611, 0.5057660540954734), (8.097560975609756, 15.154471544715447, 34.24390243902439, 47.41463414634146, 69.65853658536585, 0.5286721600001069, 0.5070204587224522), (7.056910569105691, 13.626016260162602, 33.040650406504064, 46.699186991869915, 69.5609756097561, 0.5256166069954102, 0.5102139463186431), (6.764227642276423, 13.203252032520325, 33.333333333333336, 46.47154471544715, 69.52845528455285, 0.5241194477799089, 0.511843337174682), (6.991869918699187, 14.341463414634147, 33.203252032520325, 46.73170731707317, 69.72357723577235, 0.5265377840240014, 0.509188268379577), (7.219512195121951, 13.723577235772357, 33.00813008130081, 47.54471544715447, 69.39837398373983, 0.5275000567028426, 0.5081678940506246), (7.056910569105691, 14.764227642276422, 34.34146341463415, 48.03252032520325, 69.20325203252033, 0.5286746665297976, 0.5068963242940061), (6.7317073170731705, 14.016260162601625, 34.24390243902439, 47.34959349593496, 69.6910569105691, 0.52702979954007, 0.5087595634220266), (6.504065040650406, 12.94308943089431, 32.0650406504065, 47.08943089430894, 70.14634146341463, 0.524814328283746, 0.5110560131806073), (7.154471544715447, 14.40650406504065, 34.3739837398374, 48.09756097560975, 69.26829268292683, 0.5293070571967331, 0.5062397886358847)]"
level: cnn / type: 0 best,0,0.4781479470619016,3.0,"[(8.487804878048781, 15.609756097560975, 37.170731707317074, 51.08943089430894, 71.83739837398375, 0.551063744523156, 0.48262723729770474), (8.195121951219512, 15.089430894308943, 37.203252032520325, 50.73170731707317, 70.3089430894309, 0.5448740398727188, 0.4893636586354626), (8.78048780487805, 16.0, 38.113821138211385, 52.22764227642276, 71.96747967479675, 0.5552981164715275, 0.4781479470619016), (7.902439024390244, 15.772357723577235, 36.16260162601626, 50.048780487804876, 71.2520325203252, 0.5465262396757902, 0.4875748090555158), (8.227642276422765, 16.29268292682927, 36.8130081300813, 51.28455284552845, 71.15447154471545, 0.5485366146769907, 0.485449625526685), (8.16260162601626, 15.414634146341463, 36.520325203252035, 50.86178861788618, 71.1869918699187, 0.5475091699142137, 0.486564736820117), (8.552845528455284, 16.357723577235774, 36.8130081300813, 50.47154471544715, 70.08130081300813, 0.5451835698680065, 0.4890130463211714), (9.170731707317072, 16.520325203252032, 36.48780487804878, 50.21138211382114, 70.11382113821138, 0.5436790710876267, 0.49065269015344526), (8.682926829268293, 15.967479674796747, 36.84552845528455, 50.764227642276424, 70.14634146341463, 0.545099401105103, 0.48914583485515295), (8.878048780487806, 15.869918699186991, 36.65040650406504, 50.21138211382114, 69.4308943089431, 0.5424173967775874, 0.4920381862034811), (9.105691056910569, 16.747967479674795, 37.203252032520325, 51.1219512195122, 69.46341463414635, 0.5462653790648209, 0.4878882650458577), (8.617886178861788, 16.260162601626018, 38.21138211382114, 51.577235772357724, 71.08943089430895, 0.5491507874692193, 0.4847983099457086), (9.235772357723578, 16.715447154471544, 37.5609756097561, 50.4390243902439, 69.4308943089431, 0.5460559405216207, 0.48812052856627347), (8.292682926829269, 16.48780487804878, 38.016260162601625, 51.31707317073171, 70.66666666666667, 0.5503901921616184, 0.4834638967731545), (8.390243902439025, 15.804878048780488, 39.1869918699187, 51.77235772357724, 71.57723577235772, 0.5538808183155388, 0.47969867188586507)]"
level: sample_weight / type: True best,True,0.48381610746501635,2.0,"[(8.325203252032521, 15.609756097560975, 37.040650406504064, 50.764227642276424, 70.40650406504065, 0.5484355329172214, 0.48547797262182213), (7.837398373983739, 15.382113821138212, 36.03252032520325, 51.08943089430894, 71.869918699187, 0.5501290117502465, 0.48381610746501635), (7.252032520325203, 14.536585365853659, 35.80487804878049, 50.926829268292686, 72.03252032520325, 0.5494265325499567, 0.4845284917802851), (7.837398373983739, 15.284552845528456, 35.34959349593496, 49.91869918699187, 71.57723577235772, 0.5444808448939301, 0.48970349665380997), (7.609756097560975, 14.504065040650406, 35.05691056910569, 49.983739837398375, 70.82926829268293, 0.5425538641721908, 0.49181381356749476), (8.0, 16.097560975609756, 36.45528455284553, 50.89430894308943, 71.34959349593495, 0.5477469702975248, 0.48631023633473985), (8.292682926829269, 15.707317073170731, 35.08943089430894, 48.390243902439025, 70.69918699186992, 0.5397794388791153, 0.4948140896442641), (7.414634146341464, 13.91869918699187, 36.48780487804878, 50.666666666666664, 71.57723577235772, 0.5461760205403245, 0.4879349303527738), (7.967479674796748, 15.089430894308943, 35.609756097560975, 50.21138211382114, 70.92682926829268, 0.5443973182407827, 0.489863579961141), (8.455284552845528, 15.609756097560975, 36.552845528455286, 49.983739837398375, 71.3170731707317, 0.5473519363221858, 0.48671200176455787), (8.94308943089431, 16.0, 36.03252032520325, 49.82113821138211, 71.21951219512195, 0.5474885516191494, 0.48659636609485585), (8.8130081300813, 15.902439024390244, 36.65040650406504, 50.34146341463415, 71.1219512195122, 0.5481043051829877, 0.4859124646653907), (7.739837398373984, 15.512195121951219, 36.32520325203252, 50.86178861788618, 71.8048780487805, 0.5489519828296916, 0.4849919282238621), (7.967479674796748, 15.024390243902438, 34.50406504065041, 48.390243902439025, 70.2439024390244, 0.5373283542230161, 0.4974704270617583), (8.097560975609756, 15.447154471544716, 37.203252032520325, 49.983739837398375, 71.90243902439025, 0.5490225702726268, 0.48496927460965067)]"
level: sample_weight / type: False best,False,0.47986655400919537,3.0,"[(8.032520325203253, 14.991869918699187, 35.9349593495935, 50.24390243902439, 71.1869918699187, 0.544652771488986, 0.4897490086816146), (8.325203252032521, 15.772357723577235, 36.22764227642276, 50.699186991869915, 71.3821138211382, 0.5456736488178388, 0.4886102219395657), (7.642276422764228, 16.227642276422763, 38.17886178861789, 52.0650406504065, 71.64227642276423, 0.5537776848194798, 0.47986655400919537), (8.130081300813009, 15.1869918699187, 35.609756097560975, 50.73170731707317, 71.60975609756098, 0.5449668056751054, 0.4893962040026753), (7.544715447154472, 13.560975609756097, 35.447154471544714, 50.24390243902439, 71.70731707317073, 0.5438627086428187, 0.4906349800157473), (8.065040650406504, 15.934959349593496, 37.300813008130085, 51.28455284552845, 71.41463414634147, 0.5496826192579043, 0.48433086359692873), (7.837398373983739, 15.934959349593496, 37.333333333333336, 51.1219512195122, 71.77235772357723, 0.5511858712365016, 0.48269419111935913), (8.195121951219512, 15.642276422764228, 36.552845528455286, 50.08130081300813, 70.4390243902439, 0.543672123508565, 0.49074775537276477), (7.609756097560975, 14.504065040650406, 36.97560975609756, 51.15447154471545, 71.77235772357723, 0.5480370659751843, 0.48605863386894876), (8.910569105691057, 15.869918699186991, 38.27642276422764, 50.764227642276424, 70.53658536585365, 0.5510978390835666, 0.4827210952773136), (8.78048780487805, 16.195121951219512, 38.048780487804876, 51.05691056910569, 70.86178861788618, 0.5513725278555746, 0.48244357742738014), (8.357723577235772, 15.804878048780488, 37.72357723577236, 51.479674796747965, 71.8048780487805, 0.5527267335725015, 0.4809896361563657), (8.552845528455284, 15.674796747967479, 37.78861788617886, 50.99186991869919, 70.95934959349593, 0.548293943255432, 0.48578142537430463), (8.8130081300813, 17.13821138211382, 37.886178861788615, 50.60162601626016, 70.63414634146342, 0.5483953929899712, 0.48567012527606807), (8.78048780487805, 15.739837398373984, 37.951219512195124, 51.34959349593496, 71.34959349593495, 0.5498628478630364, 0.48404689422072195)]"
