,top1,top2,top5,top7,top10,acc,r_loss
1/epoch:8/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"2,1407","5,8104","17,2783","25,6498","40,1758","0,4921","0,5315"
1/epoch:9/set:val/distance:<function pearson_sim at 0x7f614049ee60>,"2,1407","5,6575","17,0872","25,4205","40,2141","0,4926","0,5313"
1/epoch:1/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,5264","9,5074","25,3499","35,7299","48,9729","0,4885","0,5458"
1/epoch:2/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,2901","9,4437","25,1136","35,4299","48,3639","0,4877","0,5466"
1/epoch:3/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,3719","9,8073","25,5499","36,0843","48,6457","0,4911","0,5429"
1/epoch:4/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,5992","10,1891","26,1861","36,3752","48,9729","0,4947","0,5392"
1/epoch:5/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,6537","10,3799","26,3043","36,6933","49,0820","0,4967","0,5371"
1/epoch:6/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,7900","10,8344","26,4770","36,9569","49,3274","0,4988","0,5348"
1/epoch:7/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,8537","11,0707","26,6406","36,7933","49,1183","0,4995","0,5340"
1/epoch:8/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"4,9809","11,0071","26,7042","36,8478","48,9456","0,4993","0,5342"
1/epoch:9/set:test/distance:<function pearson_sim at 0x7f614049ee60>,"5,0445","11,1071","26,9315","36,6206","48,9638","0,5004","0,5329"
1/epoch:1/set:val/distance:<function eu_distance at 0x7f614049ef50>,"7,3394","12,3089","29,2431","39,8700","53,0199","0,5766","0,4438"
1/epoch:2/set:val/distance:<function eu_distance at 0x7f614049ef50>,"4,4725","9,4801","26,2997","37,1942","53,1346","0,5901","0,4288"
1/epoch:3/set:val/distance:<function eu_distance at 0x7f614049ef50>,"2,6758","6,5749","18,8073","29,0902","44,7248","0,5322","0,4901"
1/epoch:4/set:val/distance:<function eu_distance at 0x7f614049ef50>,"5,1988","11,2003","30,4281","41,4373","53,9755","0,6015","0,4170"
1/epoch:5/set:val/distance:<function eu_distance at 0x7f614049ef50>,"6,8807","15,9021","31,1544","41,9725","55,5810","0,5926","0,4281"
1/epoch:6/set:val/distance:<function eu_distance at 0x7f614049ef50>,"7,7982","14,7936","26,7966","34,3654","47,8211","0,5762","0,4447"
1/epoch:7/set:val/distance:<function eu_distance at 0x7f614049ef50>,"4,6636","9,2125","20,7187","28,1346","43,8073","0,5553","0,4655"
1/epoch:8/set:val/distance:<function eu_distance at 0x7f614049ef50>,"5,3517","10,7798","26,8349","37,3471","50,8028","0,5687","0,4507"
1/epoch:9/set:val/distance:<function eu_distance at 0x7f614049ef50>,"4,2431","8,7156","21,5979","29,3196","43,3104","0,4940","0,5329"
1/epoch:1/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,5715","13,2067","33,5848","45,2645","56,4625","0,5500","0,4790"
1/epoch:2/set:test/distance:<function eu_distance at 0x7f614049ef50>,"7,0805","13,5703","31,7488","43,6830","56,8169","0,5498","0,4805"
1/epoch:3/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,5443","13,3067","32,1760","44,0465","55,6353","0,5485","0,4807"
1/epoch:4/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,1080","12,8068","33,5848","45,1100","56,2261","0,5395","0,4905"
1/epoch:5/set:test/distance:<function eu_distance at 0x7f614049ef50>,"5,8898","13,0158","36,7660","47,7004","57,9622","0,5603","0,4684"
1/epoch:6/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,2261","12,0796","31,9487","44,2283","57,0805","0,5499","0,4786"
1/epoch:7/set:test/distance:<function eu_distance at 0x7f614049ef50>,"6,2807","12,9158","31,7670","43,9466","57,6532","0,5492","0,4813"
