,best,r_loss,epoch,historical
level: measure / type: <function pearson_sim at 0x7f885b28a578> best,<function pearson_sim at 0x7f885b28a578>,0.44013077665672634,2.0,"[(11.097059753398673, 18.273790705026872, 34.808725893139425, 42.58615238697439, 52.35535883654758, 0.5422377311879726, 0.4839877380168493), (10.43313310148593, 21.372115080619665, 37.21150806196649, 47.202023395510594, 55.29560543787544, 0.5838185774636782, 0.44013077665672634), (10.211824217515018, 19.348719570028454, 35.377805880493206, 44.32500790388871, 54.44198545684477, 0.5687058045422132, 0.4561024711637471), (6.4811887448624725, 13.531457477078723, 34.93518811255137, 44.546316787859624, 55.1375276636105, 0.5706286609153559, 0.45441103182005393), (4.995257666772051, 10.085361998103068, 22.92127726841606, 30.034777110338286, 44.32500790388871, 0.43968640716760876, 0.5951381910947281), (5.56433765412583, 13.910844135314575, 29.813468226367373, 40.56275687638318, 49.57319000948467, 0.5135253767238179, 0.5159403453020439), (8.093582042364844, 16.534935188112552, 29.781852671514386, 40.752450205501106, 54.189061018020865, 0.5319387838419217, 0.4970355277042799), (6.006955422067657, 14.511539677521341, 30.09800822004426, 40.27821688270629, 53.52513436610813, 0.5160514276220195, 0.5148005198744005), (7.145115396775213, 15.491621877963958, 35.314574770787225, 47.9607967119823, 56.33891874802403, 0.5635810266808785, 0.4629051521602315), (6.6708820739803985, 16.503319633259565, 32.65886816313626, 42.39645905785647, 53.114132153019284, 0.522008285447332, 0.5076352574576279), (5.754030983243756, 16.376857413847613, 33.29117926019602, 44.64116345241859, 54.694909895668665, 0.5516045445497709, 0.47608838083757793), (4.995257666772051, 11.191906417957636, 31.457477078722732, 44.32500790388871, 52.51343661081252, 0.5432710965267746, 0.4854388653713079), (4.868795447360101, 11.065444198545684, 32.59563705343029, 43.97723680050585, 53.114132153019284, 0.5481574677379104, 0.47965029636057316), (4.6474865633891875, 9.326588681631362, 32.722099272842236, 42.93392349035726, 53.809674359785014, 0.5253651127330102, 0.5040849401173128), (4.236484350300348, 7.967119822952893, 28.706923806512805, 41.479607967119826, 53.114132153019284, 0.5310754897698098, 0.4982919527809455)]"
level: measure / type: <function eu_distance at 0x7f885b28a848> best,<function eu_distance at 0x7f885b28a848>,0.43546602571470705,5.0,"[(4.426177679418274, 9.453050901043314, 29.402466013278534, 41.479607967119826, 51.280429971546, 0.516662239773246, 0.5127668874942034), (3.193171040151755, 7.903888713246918, 25.007903888713248, 41.289914638001896, 51.754663294340816, 0.5165552431741521, 0.5135188943007969), (2.782168827062915, 6.354726525450522, 21.30888397091369, 34.998419222257354, 50.26873221625039, 0.4933909621400521, 0.5381465792881921), (3.414479924122668, 6.51280429971546, 22.731583939298133, 39.77236800505849, 54.726525450521656, 0.5187760559081721, 0.5111387981861966), (5.659184318684793, 16.28201074928865, 36.041732532405945, 44.32500790388871, 55.76983876067025, 0.5888339757475496, 0.43546602571470705), (3.066708820739804, 10.243439772368005, 33.89187480240278, 43.56623458741701, 56.43376541258299, 0.5688321445597665, 0.45664212700920026), (4.173253240594373, 13.057224154283908, 33.38602592475498, 41.70091685109074, 53.39867214669617, 0.5668985618767303, 0.4587407769993839), (5.121719886184002, 14.416693012962378, 34.619032564021495, 43.15523237432817, 54.44198545684477, 0.5800833542297494, 0.44444011884878315), (4.110022130888397, 11.539677521340499, 35.97850142269997, 44.00885235535883, 53.36705659184319, 0.5632662540217258, 0.46191838780071137), (4.963642111919064, 12.108757508694278, 35.21972810622827, 43.81915902624091, 52.07081884287069, 0.5700965132625605, 0.45518598260062065), (3.825482137211508, 9.042048687954473, 26.146063863420803, 38.63420803035093, 50.45842554536832, 0.5124074606688089, 0.5159947736892093), (3.9835599114764464, 10.338286436926968, 35.78880809358204, 42.36484350300348, 52.19728106228264, 0.5547979350792069, 0.4707566232891956), (4.331331014859311, 11.571293076193488, 35.66234587417009, 43.376541258299085, 51.185583306987034, 0.5565874911818511, 0.4685526814139723), (3.7938665823585205, 10.085361998103068, 28.77015491621878, 41.479607967119826, 49.85773000316156, 0.5329359712054368, 0.4938051545787789), (4.173253240594373, 10.71767309516282, 35.44103699019918, 42.39645905785647, 51.31204552639899, 0.5484141071321782, 0.4771332604701991)]"
level: measure / type: <function exponent_neg_manhattan_distance at 0x7f885b28a410> best,<function exponent_neg_manhattan_distance at 0x7f885b28a410>,0.5960982424100383,1.0,"[(3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383), (3.6990199177995575, 7.271577616187164, 20.012646221941196, 29.117926019601644, 41.82737907050269, 0.4378476202708595, 0.5960982424100383)]"
level: measure / type: <function cosine_distance at 0x7f885b28a5f0> best,<function cosine_distance at 0x7f885b28a5f0>,0.4352068795139997,7.0,"[(9.484666455896301, 17.19886184002529, 34.33449257034461, 43.69269680682896, 53.683212140373065, 0.5727249363057766, 0.45179056781965415), (8.662662029718621, 18.400252924438824, 36.51596585520076, 47.13879228580461, 58.14100537464432, 0.5878806765968698, 0.435955524789618), (9.421435346190325, 18.084097375908947, 33.73379702813784, 44.419854568447676, 55.959532089788176, 0.5660650469174905, 0.4597899634979273), (9.516282010749288, 16.6613974075245, 35.314574770787225, 44.83085678153652, 55.6433765412583, 0.5703774201827111, 0.4548870966285729), (7.05026873221625, 17.040784065760356, 36.23142586152387, 45.39993676889029, 55.76983876067025, 0.5774547432226151, 0.4467452780361494), (6.449573190009485, 10.812519759721782, 29.876699336073347, 39.2349035725577, 50.93265886816314, 0.5230781183677599, 0.5048533658231313), (8.694277584571608, 19.475181789440406, 36.6740436294657, 46.98071451153968, 57.28738539361366, 0.5881828148536266, 0.4352068795139997), (7.113499841922226, 15.396775213404995, 33.10148593107809, 42.680999051533355, 54.220676572873856, 0.5571574334017035, 0.4684769818555614), (7.271577616187164, 16.977552956054378, 34.271261460638634, 44.70439456212456, 54.66329434081568, 0.5658358946722534, 0.45858022051946046), (7.05026873221625, 16.503319633259565, 34.113183686373695, 45.147012330066396, 56.085994309200125, 0.5681597677012576, 0.4566567163649797), (6.6392665191274105, 17.704710717673095, 35.47265254505216, 45.74770787227316, 55.70660765096427, 0.5787474962308448, 0.4449081579088069), (6.417957635156497, 16.503319633259565, 35.504268099905154, 46.60132785330383, 57.54030983243756, 0.5736533834202486, 0.45063544599149535), (7.176730951628201, 17.704710717673095, 34.71387922858046, 45.24185899462535, 55.29560543787544, 0.5726598188005655, 0.4510937739089727), (8.40973759089472, 16.724628517230478, 34.74549478343345, 44.64116345241859, 58.710085361998104, 0.5827591134278236, 0.4422621179401883), (6.955422067657287, 16.02908631046475, 34.08156813152071, 44.98893455580146, 56.33891874802403, 0.5772257633695949, 0.4466635967270358)]"
level: loss / type: binary_crossentropy best,binary_crossentropy,0.4108435856511884,12.0,"[(7.398039835599115, 13.341764147960797, 30.0031615554853, 42.680999051533355, 54.66329434081568, 0.5526691075003405, 0.4739503048909093), (7.145115396775213, 13.784381915902625, 32.46917483401834, 43.66108125197597, 54.28390768257983, 0.5499582879674682, 0.47704726027895233), (7.492886500158078, 14.574770787227315, 30.603857097692064, 42.175150173885555, 54.47360101169775, 0.5504214866541569, 0.47704308388057165), (7.714195384128992, 14.416693012962378, 31.836863736958584, 41.66930129623775, 54.56844767625672, 0.5635054729477872, 0.46277103866625807), (7.018653177363262, 13.784381915902625, 31.520708188428706, 43.81915902624091, 55.29560543787544, 0.5627948064188059, 0.4632534953709472), (9.705975339867214, 16.69301296237749, 32.374328169459375, 44.16693012962377, 56.74992096111287, 0.5682680505573035, 0.4574449006525483), (5.785646538096744, 11.25513752766361, 26.87322162503952, 38.95036357888081, 51.31204552639899, 0.530968186937665, 0.49686154847331776), (10.085361998103068, 16.4084729687006, 33.38602592475498, 47.48656338918748, 58.23585203920329, 0.5811590103200779, 0.4433001398399006), (11.95067973442934, 18.400252924438824, 36.51596585520076, 46.63294340815681, 57.57192538729055, 0.5915273612412003, 0.43263234911528503), (7.145115396775213, 17.325324059437243, 34.52418589946254, 45.39993676889029, 58.10938981979134, 0.5913710084993086, 0.43204064782263363), (9.800822004426177, 16.69301296237749, 35.66234587417009, 45.39993676889029, 56.655074296553906, 0.5770366244905017, 0.44713819661633203), (11.855833069870377, 19.222257350616502, 40.27821688270629, 49.25703446095479, 59.84824533670566, 0.6114089015620201, 0.4108435856511884), (9.484666455896301, 14.827695226051217, 33.38602592475498, 42.33322794815049, 52.92443882390136, 0.5590324610928256, 0.46511035688927266), (7.524502055011065, 15.58646854252292, 35.66234587417009, 47.64464116345242, 57.22415428390768, 0.5856577907386118, 0.43845272338063157), (7.334808725893139, 15.776161871640847, 35.94688586784698, 47.549794498893455, 58.10938981979134, 0.5937653420092426, 0.4292498075763047)]"
level: loss / type: mean_squared_error best,mean_squared_error,0.43646782723005334,4.0,"[(9.516282010749288, 18.653177363262724, 33.92349035725577, 44.32500790388871, 55.76983876067025, 0.5843107527276145, 0.43947081986501585), (10.022130888397092, 19.12741068605754, 33.70218147328486, 44.546316787859624, 55.548529876699334, 0.5851707192111508, 0.4383511112297491), (10.022130888397092, 17.35693961429023, 33.54410369901992, 44.26177679418274, 55.61176098640531, 0.5862132863339751, 0.4371068345859101), (10.116977552956055, 17.040784065760356, 33.449257034460956, 44.13531457477079, 56.02276319949415, 0.58679227501747, 0.43646782723005334), (10.022130888397092, 16.6613974075245, 33.38602592475498, 44.19854568447676, 56.1492254189061, 0.5856361449525254, 0.4376935358186502), (9.89566866898514, 16.724628517230478, 33.73379702813784, 43.94562124565286, 56.33891874802403, 0.586224389629054, 0.43704354282586144), (9.737590894720203, 16.756244072083465, 33.955105912108756, 43.75592791653494, 56.05437875434714, 0.5857726963002704, 0.43750459009061765), (9.76920644957319, 16.56655074296554, 34.17641479607967, 43.62946569712298, 56.18084097375909, 0.5859855551616857, 0.4372729513551851), (9.864053114132153, 16.471704078406574, 34.113183686373695, 43.78754347138792, 56.02276319949415, 0.5859937074872072, 0.43721464349074707), (9.927284223838129, 16.503319633259565, 34.39772368005058, 43.914005690799875, 55.959532089788176, 0.5858066392114047, 0.43738011359336054), (9.89566866898514, 16.345241858994626, 35.1248814416693, 43.81915902624091, 56.05437875434714, 0.5861872610918746, 0.43700781924112536), (9.958899778691116, 16.345241858994626, 35.156496996522286, 43.75592791653494, 56.02276319949415, 0.5849167277747459, 0.43834810128905505), (9.927284223838129, 16.471704078406574, 34.96680366740436, 43.62946569712298, 55.83306987037623, 0.5847884311762882, 0.4384965068726321), (9.89566866898514, 16.56655074296554, 34.840341447992415, 43.47138792285805, 55.83306987037623, 0.5840348788901801, 0.43930098961485725), (9.927284223838129, 16.503319633259565, 34.93518811255137, 43.25007903888713, 55.83306987037623, 0.5842759701814272, 0.4390458519917977)]"
level: loss / type: <function contrastive_loss at 0x7f885b28a398> best,<function contrastive_loss at 0x7f885b28a398>,0.3939924188642927,1.0,"[(11.855833069870377, 19.12741068605754, 39.26651912741069, 49.19380335124882, 59.595320897881756, 0.6273373841507054, 0.3939924188642927), (11.855833069870377, 18.74802402782169, 38.60259247549794, 48.4666455896301, 58.552007587733165, 0.6227302294207104, 0.39878826362927067), (11.602908631046475, 18.716408472968702, 39.171672462851724, 47.92918115712931, 58.710085361998104, 0.6187437650573089, 0.40293415833833823), (11.66613974075245, 18.495099588997785, 38.823901359468856, 47.51817894404047, 58.29908314890926, 0.6158747900304242, 0.40598507816817375), (11.729370850458425, 18.2105595953209, 38.53936136579197, 47.10717673095163, 57.91969649067341, 0.6121063790748117, 0.40998945001557446), (11.66613974075245, 17.989250711349985, 38.507745810938985, 47.043945621245655, 57.79323427126146, 0.6099880700068478, 0.41221650624948625), (11.444830856781536, 17.89440404679102, 38.66582358520392, 46.82263673727474, 57.09769206449573, 0.6079685352614248, 0.4143619978798939), (11.191906417957636, 17.76794182737907, 38.66582358520392, 47.012330066392664, 56.68668985140689, 0.6063370272445063, 0.41608656263214727), (11.160290863104647, 17.76794182737907, 38.41289914638002, 46.56971229845084, 56.275687638318054, 0.604034687416406, 0.4185318241708328), (11.25513752766361, 17.64147960796712, 38.349668036674046, 46.28517230477395, 55.8963009800822, 0.6026461600929951, 0.4200426081842791), (11.286753082516599, 17.609864053114133, 38.286436926968065, 46.316787859626935, 55.67499209611129, 0.6023848037911829, 0.4202706217833845), (11.223521972810623, 17.546632943408156, 36.76889029402466, 46.158710085361996, 55.67499209611129, 0.6005680124899613, 0.422241708122035), (11.318368637369586, 17.388555169143217, 36.76889029402466, 46.09547897565602, 55.76983876067025, 0.6003250914741826, 0.4224428110813871), (11.349984192222573, 17.325324059437243, 36.4211191906418, 46.00063231109706, 55.83306987037623, 0.5998880027794442, 0.42293096180873435), (11.413215301928549, 17.293708504584256, 36.29465697122985, 46.03224786595005, 55.73822320581726, 0.5987559621179084, 0.42413402922662957)]"
level: cnn / type: 0 best,0,0.4452442685470124,1.0,"[(9.294973126778375, 17.73632627252608, 34.144799241226686, 43.882390135946885, 54.82137211508062, 0.5782014398967958, 0.4452442685470124), (8.40973759089472, 16.724628517230478, 34.144799241226686, 43.81915902624091, 54.60006323110971, 0.5750631114381141, 0.4485260362452651), (8.472968700600696, 16.376857413847613, 33.51248814416693, 43.724312361681946, 54.60006323110971, 0.5738363551814291, 0.4497469114328109), (8.599430920012646, 16.376857413847613, 33.449257034460956, 43.66108125197597, 54.536832121403734, 0.5743583767775027, 0.44919872988412185), (8.567815365159658, 16.1555485298767, 33.069870376225104, 43.50300347771103, 54.25229212772684, 0.5730004287275725, 0.4506510453685438), (8.378122036041733, 15.965855200758773, 32.97502371166614, 43.31331014859311, 54.347138792285804, 0.5720703327290967, 0.45162050972157963), (8.314890926335757, 15.87100853619981, 32.94340815681315, 43.376541258299085, 54.41036990199178, 0.5721051100505953, 0.4515566494490151), (8.504584255453683, 15.934239645905786, 32.84856149225419, 42.93392349035726, 54.50521656655074, 0.5727722456390766, 0.4507884293728429), (8.694277584571608, 15.681315207081884, 32.84856149225419, 42.74423016123933, 54.03098324375593, 0.5719042218377877, 0.4517026914746435), (8.599430920012646, 15.491621877963958, 32.78533038254822, 42.74423016123933, 53.77805880493203, 0.5714120335502801, 0.4522180366663036), (8.599430920012646, 15.301928548846032, 32.65886816313626, 42.649383496680365, 53.651596585520075, 0.570299623470496, 0.45341893379898607), (8.599430920012646, 15.33354410369902, 32.5640214985773, 42.36484350300348, 53.30382548213721, 0.569159147963402, 0.4546390580861935), (8.631046474865634, 15.428390768257984, 32.40594372431236, 42.3016123932975, 53.30382548213721, 0.5687480904237006, 0.45508733633681636), (8.662662029718621, 15.33354410369902, 32.342712614606384, 42.33322794815049, 53.0825165981663, 0.5675430405682761, 0.4563914450868043), (8.694277584571608, 15.238697439140056, 32.46917483401834, 42.39645905785647, 52.86120771419539, 0.5668392894048727, 0.4571069042656643)]"
level: cnn / type: 1 best,1,0.41103349827579,1.0,"[(10.780904204868795, 16.187164084729687, 37.274739171672465, 47.9607967119823, 57.44546316787859, 0.6117666193247325, 0.41103349827579), (10.496364211191906, 15.807777426493836, 36.23142586152387, 48.02402782168827, 57.44546316787859, 0.6076201297245547, 0.4152304015202745), (10.116977552956055, 15.207081884287069, 35.69396142902308, 47.89756560227632, 57.477078722731584, 0.603310010067683, 0.41994061401748145), (9.958899778691116, 14.732848561492254, 35.21972810622827, 47.61302560859943, 57.319000948466645, 0.6013930436077016, 0.42191477178290165), (10.116977552956055, 14.92254189061018, 34.8719570028454, 47.32848561492254, 56.97122984508378, 0.5967589405106064, 0.4268644399195841), (9.800822004426177, 14.732848561492254, 34.96680366740436, 47.51817894404047, 56.84476762567183, 0.5957501127176141, 0.4278739972503804), (9.800822004426177, 14.574770787227315, 34.840341447992415, 47.45494783433449, 56.71830540625988, 0.5941829550818726, 0.4294963669526875), (10.116977552956055, 15.017388555169143, 34.96680366740436, 47.42333227948151, 56.781536515965854, 0.5930990198877224, 0.4305893243999556), (10.496364211191906, 14.890926335757193, 35.03003477711034, 47.391716724628516, 56.30730319317104, 0.5920493490207527, 0.43172196375496874), (9.832437559279166, 14.79607967119823, 35.25134366108125, 47.1704078406576, 56.24407208346506, 0.5913150030337216, 0.432421309218404), (10.369901991779956, 15.175466329434082, 35.21972810622827, 47.202023395510594, 56.21245652861208, 0.591377694163111, 0.4322528437057865), (10.053746443250079, 14.985773000316156, 35.188112551375276, 46.94909895668669, 56.33891874802403, 0.5895033673873821, 0.4342308041673235), (10.46474865633892, 14.985773000316156, 35.1248814416693, 46.28517230477395, 56.37053430287702, 0.5885417907082016, 0.43519318350299924), (10.148593107809042, 14.827695226051217, 35.156496996522286, 46.190325640214986, 56.33891874802403, 0.5886105969124277, 0.43512309809941135), (10.43313310148593, 15.207081884287069, 35.09326588681631, 45.58963009800822, 56.24407208346506, 0.5870166625116533, 0.4368041706723338)]"
level: cnn / type: 2 best,2,0.4027644057633075,10.0,"[(7.113499841922226, 15.807777426493836, 37.21150806196649, 51.5333544103699, 58.48877647802719, 0.6099872641875643, 0.4125760645509967), (7.113499841922226, 15.902624091052799, 37.812203604173256, 50.869427758457164, 59.37401201391084, 0.6134052930322064, 0.4088297374212229), (7.208346506481189, 15.87100853619981, 37.87543471387923, 50.26873221625039, 59.753398672146695, 0.6132539478993295, 0.40895506354451894), (7.239962061334176, 16.123932975023713, 38.09674359785014, 50.42680999051533, 59.943092001264624, 0.6147668680313471, 0.4072344832996363), (7.429655390452102, 16.187164084729687, 38.09674359785014, 50.49004110022131, 60.06955422067657, 0.6160017492391135, 0.40590090667735973), (7.46127094530509, 16.060701865317736, 38.06512804299715, 50.30034777110338, 59.97470755611761, 0.6152407385602138, 0.4066425920830051), (7.556117609864053, 16.1555485298767, 38.22320581726209, 50.36357888080936, 60.2592475497945, 0.6169711184043749, 0.40467950123319774), (7.745810938981979, 16.123932975023713, 38.318052481821056, 50.33196332595637, 60.35409421435346, 0.6171853742330374, 0.40442226420499044), (8.061966487511857, 16.1555485298767, 38.318052481821056, 50.30034777110338, 60.38570976920645, 0.6185836346773969, 0.40286658597098385), (8.12519759721783, 16.187164084729687, 38.60259247549794, 50.015807777426495, 60.70186531773633, 0.6186739527617067, 0.4027644057633075), (8.15681315207082, 16.376857413847613, 38.507745810938985, 49.69965222889662, 60.73348087258931, 0.6176367591862368, 0.4038284610116399), (8.188428706923807, 16.123932975023713, 38.38128359152703, 49.446727790072714, 60.828327537148276, 0.6176240847574787, 0.4039344778281414), (8.188428706923807, 16.123932975023713, 38.38128359152703, 48.37179892507113, 60.73348087258931, 0.6168789321158707, 0.40463586068212753), (8.220044261776794, 16.25039519443566, 38.476130256085995, 48.02402782168827, 60.7650964274423, 0.6168479619923194, 0.40462806499463905), (8.28327537148277, 16.1555485298767, 38.63420803035093, 47.549794498893455, 60.89155864685425, 0.6170765207142345, 0.404373148054613)]"
