,best,r_loss,epoch,historical
level: measure / type: <function pearson_similarity at 0x7f11930758c0> best,<function pearson_similarity at 0x7f11930758c0>,0.39596831015895073,0.0,"[(0.6317800055708003, 0.39596831015895073, 0.6132514760136708, 0.4158665952788101), (0.6199457823330103, 0.40868409652928045, 0.6164359323929133, 0.4124363458788078), (0.6125168783506652, 0.41668490049330076, 0.6083289079219203, 0.4211626629674599), (0.6100069798573109, 0.4193717392545968, 0.6033967796966754, 0.42645739246103653), (0.6050714260151535, 0.4246959965065963, 0.5945803540198373, 0.43594411063283633), (0.6069112569951927, 0.4227295775130884, 0.6152898649507632, 0.4136883145360417), (0.5946609169767323, 0.43588145743683215, 0.612249244233838, 0.41694333893239266), (0.6018954316157106, 0.4281184696778, 0.6127231330154035, 0.41642870306302016), (0.5880741427004321, 0.44297513198435434, 0.6088587361238668, 0.4205904048764311), (0.5873944316946964, 0.44369219353662837, 0.6084642723306821, 0.42102316960095504), (0.5879803417967934, 0.44306728980086096, 0.6089780423475419, 0.4204776540493641), (0.5890035825680664, 0.44196266909577203, 0.609922334715571, 0.4194488834981456)]"
level: measure / type: <function euclidan_similarity at 0x7f1193075b90> best,<function euclidan_similarity at 0x7f1193075b90>,0.38702645907045136,0.0,"[(0.6400924879780387, 0.38702645907045136, 0.6432409114270835, 0.3835986615574522), (0.6338883709210923, 0.39367215474405653, 0.6390019928874325, 0.38817734080214167), (0.6273788982480345, 0.4006702054244567, 0.638292204247368, 0.3889603994285338), (0.6231267640461247, 0.40523746971446273, 0.6247818383885475, 0.40349659380860164), (0.6125787842940489, 0.4165739813472377, 0.6222800669912589, 0.4061882810370865), (0.6123326000326136, 0.4168385739419362, 0.6215194345940743, 0.407010473007369), (0.6080894037126335, 0.4213968439380524, 0.6196295674629277, 0.40904403420522834), (0.6021357062464392, 0.4278068776129012, 0.6153669657691031, 0.4136302285997245), (0.5971314433997764, 0.4331812533002698, 0.6121447717159865, 0.41709523285657724), (0.5932437999061737, 0.43735510840275776, 0.6066283826626132, 0.42303049890028477), (0.5943421384253912, 0.43618666696920505, 0.6081177890524839, 0.42142646686147156), (0.5912818502932815, 0.4394720883597536, 0.6067842928700321, 0.42285090607284614)]"
level: measure / type: <function exponent_neg_manhattan_distance at 0x7f1193075758> best,<function exponent_neg_manhattan_distance at 0x7f1193075758>,0.3501860606899145,0.0,"[(0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234)]"
level: measure / type: <function cosine_similarity at 0x7f1193075938> best,<function cosine_similarity at 0x7f1193075938>,0.514730985683073,1.0,"[(0.505387335016245, 0.5319275726247382, 0.521814645098821, 0.5143000702752407), (0.5213827596864964, 0.514730985683073, 0.5353516236187043, 0.4997552810242632), (0.5147504121083665, 0.5218407191163326, 0.5322077249821145, 0.5031744470699995), (0.5024874397094317, 0.5350443726962453, 0.524597317338303, 0.5113536957875013), (0.5196767265178033, 0.5165188985625938, 0.5373128723245738, 0.4976862509142374), (0.5028392844694135, 0.5346507233251042, 0.5249167636918708, 0.5110366776421665), (0.507295043074609, 0.5298512391945756, 0.5256074791192564, 0.5103060887132521), (0.49427179934697996, 0.5438545234403522, 0.5212382744426645, 0.5150314323109114), (0.5025814243664781, 0.5349285902076295, 0.5210861707191449, 0.5152301281347897), (0.5093563118870851, 0.5276357615913536, 0.5256942860770313, 0.5102481086122298), (0.5062128508474554, 0.5310076989575006, 0.5275590123482212, 0.5082602944829203), (0.5076682925980722, 0.5294655999265272, 0.5252265932735979, 0.5107534717762038)]"
level: loss / type: binary_crossentropy best,binary_crossentropy,0.3501860606899145,0.0,"[(0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234), (0.6744067171814446, 0.3501860606899145, 0.6237303484066328, 0.40457618727193234)]"
level: loss / type: mean_squared_error best,mean_squared_error,0.3545031393416369,0.0,"[(0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423), (0.670385508836812, 0.3545031393416369, 0.6215619548318186, 0.4069117817454423)]"
level: loss / type: <function contrastive_loss at 0x7f11930756e0> best,<function contrastive_loss at 0x7f11930756e0>,0.3527554663122618,0.0,"[(0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527571773987333, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206), (0.6720309463519274, 0.3527554663122618, 0.6260923776497872, 0.4020440313796206)]"
level: cnn / type: 0 best,0,0.357176048590491,0.0,"[(0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246), (0.667908502977556, 0.357176048590491, 0.6267447855470569, 0.4013350488867246)]"
